device id,month,server location,iperf type,duration,iperf run number,successful?
HUCKLEBERRY_830,dec,east,udp,30,64588,yes
HUCKLEBERRY_830,dec,east,udp,30,64589,yes
HUCKLEBERRY_830,dec,east2,udp,30,64594,yes
HUCKLEBERRY_830,dec,east2,udp,30,64595,yes
HUCKLEBERRY_830,dec,east2,udp,30,64596,yes
HUCKLEBERRY_830,dec,east2,udp,30,64597,yes
HUCKLEBERRY_830,dec,west,udp,30,64598,yes
HUCKLEBERRY_830,dec,west,udp,30,64599,yes
HUCKLEBERRY_830,dec,west,udp,30,64600,yes
HUCKLEBERRY_830,dec,west,udp,30,64601,yes
HUCKLEBERRY_830,dec,west2,udp,30,64602,yes
HUCKLEBERRY_830,dec,west2,udp,30,64603,yes
HUCKLEBERRY_830,dec,west2,udp,30,64604,yes
HUCKLEBERRY_830,dec,west2,udp,30,64605,yes
HUCKLEBERRY_830,dec,central,udp,30,64606,yes
HUCKLEBERRY_830,dec,central,udp,30,64607,yes
HUCKLEBERRY_830,dec,central,udp,30,64608,yes
HUCKLEBERRY_830,dec,central,udp,30,64609,yes
HUCKLEBERRY_830,dec,west-central,udp,30,64637,yes
HUCKLEBERRY_830,dec,west-central,udp,30,64638,yes
HUCKLEBERRY_830,dec,west-central,udp,30,64639,yes
HUCKLEBERRY_830,dec,west-central,udp,30,64642,yes
HUCKLEBERRY_830,dec,north-central,udp,30,64643,yes
HUCKLEBERRY_830,dec,north-central,udp,30,64644,yes
HUCKLEBERRY_830,dec,north-central,udp,30,64645,yes
HUCKLEBERRY_830,dec,north-central,udp,30,64649,yes
HUCKLEBERRY_830,dec,south-central,udp,30,64660,yes
HUCKLEBERRY_830,dec,south-central,udp,30,64661,yes
HUCKLEBERRY_830,dec,south-central,udp,30,64662,yes
HUCKLEBERRY_830,dec,south-central,udp,30,64663,yes
,,,,,,
PXBMN,jan,east,udp,30,60261,no
PXBMN,jan,east,tcp8,30,60262,yes
PXBMN,jan,east,tcp1d,30,60263,yes
PXBMN,jan,east,udp,30,60264,no
PXBMN,jan,east,tcp8,30,60265,yes
PXBMN,jan,east,tcp1d,30,60266,yes
PXBMN,jan,east,tcp1c,30,60267,yes
PXBMN,jan,east,tcp1c,30,60268,yes
PXBMN,jan,central,udp,30,60269,no
PXBMN,jan,central,udp,30,60270,no
PXBMN,jan,central,tcp8,30,60271,yes
PXBMN,jan,central,tcp8,30,60272,yes
PXBMN,jan,central,tcp1d,30,60273,yes
PXBMN,jan,central,tcp1d,30,60274,yes
PXBMN,jan,central,tcp1c,30,60275,yes
PXBMN,jan,central,tcp1c,30,60276,yes
PXBMN,jan,east2,udp,30,60349,no
PXBMN,jan,east2,udp,30,60350,no
PXBMN,jan,east2,tcp8,30,60283,yes
PXBMN,jan,east2,tcp8,30,60285,yes
PXBMN,jan,east2,tcp1d,30,60286,no
PXBMN,jan,east2,tcp1d,30,60287,no
PXBMN,jan,east2,tcp1c,30,60288,no
PXBMN,jan,east2,tcp1c,30,60289,yes
PXBMN,jan,east2,tcp1c,30,60290,yes
PXBMN,jan,east2,tcp1d,30,60359,yes
PXBMN,jan,east2,tcp1d,30,60360,yes
PXBMN,jan,north-central,tcp8,30,60308,yes
PXBMN,jan,north-central,tcp8,30,60309,yes
