time,avg_power,active interface,handover type
256.0,1.1821207400000027,SA 5G,
257.0,1.2085109200000017,SA 5G,
258.0,1.2417385600000053,SA 5G,
259.0,1.234407560000001,SA 5G,
260.0,1.2466533400000008,SA 5G,
261.0,1.172822800000005,SA 5G,
262.0,1.1805408281656289,SA 5G,
263.0,1.236679339999999,SA 5G,
264.0,1.232839100000004,SA 5G,
265.0,1.255527120000002,SA 5G,
266.0,1.229366279999997,SA 5G,
267.0,1.2824292399999977,SA 5G,
268.0,1.2372654000000007,SA 5G,
269.0,1.2770329265853204,SA 5G,
270.0,1.2951735200000023,SA 5G,
271.0,1.2457408000000048,SA 5G,
272.0,1.2549464000000017,SA 5G,
273.0,1.2499621799999991,SA 5G,
274.0,1.2380341599999987,SA 5G,
275.0,1.3306734199999966,SA 5G,
276.0,1.2800883399999992,SA 5G,
277.0,1.2385222444488901,SA 5G,
278.0,1.2702699399999993,SA 5G,
279.0,1.2611212200000017,SA 5G,
280.0,1.2549726600000024,SA 5G,
281.0,1.3543273799999953,SA 5G,
282.0,1.2693357600000006,SA 5G,
283.0,1.2595384400000018,SA 5G,
284.0,1.275634446889376,SA 5G,
285.0,1.2762630799999986,SA 5G,
286.0,1.250367260000001,SA 5G,
287.0,1.2796142200000007,SA 5G,
288.0,1.2020467600000027,SA 5G,
289.0,1.2637706200000012,SA 5G,
290.0,1.2563728999999997,SA 5G,
291.0,1.2474577799999995,SA 5G,5t5
292.0,1.2812445889177815,SA 5G,
293.0,1.2777389199999996,SA 5G,
294.0,1.2515863400000016,SA 5G,
295.0,1.2554185800000006,SA 5G,
296.0,1.265547679999999,SA 5G,
297.0,1.2438148800000015,SA 5G,
298.0,1.268435540000001,SA 5G,
299.0,1.2560458091618327,SA 5G,
300.0,1.2688372399999972,SA 5G,
301.0,1.270114539999997,SA 5G,
302.0,1.270920439999995,SA 5G,
303.0,1.256675140000001,SA 5G,
304.0,1.3136271600000018,SA 5G,
305.0,1.2432778400000022,SA 5G,
306.0,1.245798059999999,SA 5G,
307.0,1.2554385077015369,SA 5G,
308.0,1.2411698400000035,SA 5G,
309.0,1.3220829399999963,SA 5G,
310.0,1.2537494400000024,SA 5G,
311.0,1.2503210599999963,SA 5G,
312.0,1.244193140000003,SA 5G,
313.0,1.2619660799999988,SA 5G,
314.0,1.329237927585516,SA 5G,
315.0,1.2545501400000014,SA 5G,
316.0,1.2584719000000009,SA 5G,
317.0,1.2784053599999954,SA 5G,
318.0,1.0882224000000005,SA 5G,
319.0,1.202567380000001,SA 5G,
320.0,1.2214999199999994,SA 5G,
321.0,1.1323929000000013,SA 5G,
322.0,1.3569713942788595,SA 5G,5t5
323.0,1.267766440000001,SA 5G,
324.0,1.2545583399999942,SA 5G,
325.0,1.233336940000002,SA 5G,
326.0,1.187032279999998,SA 5G,
327.0,1.28234718,SA 5G,
328.0,1.257446699999995,SA 5G,
329.0,1.260419923984794,SA 5G,5t5
330.0,1.2887377000000015,SA 5G,
331.0,1.2589733999999955,SA 5G,
332.0,1.2320171999999987,SA 5G,
333.0,1.2493249199999963,SA 5G,
334.0,1.258647739999998,SA 5G,
335.0,1.3520607000000011,SA 5G,
336.0,1.2454828799999993,SA 5G,
337.0,1.2011589717943545,SA 5G,
338.0,1.1680584600000012,SA 5G,
339.0,1.1844212200000004,SA 5G,
340.0,1.2398072999999965,SA 5G,
341.0,1.215962479999996,SA 5G,
342.0,1.175396359999999,SA 5G,
343.0,1.1770581599999994,SA 5G,
344.0,1.2455448689737938,SA 5G,
345.0,1.1640908999999988,SA 5G,
346.0,1.1807258599999975,SA 5G,
347.0,1.0984901599999966,SA 5G,
348.0,1.1415833600000014,SA 5G,5t5
349.0,1.1055905199999991,SA 5G,
350.0,1.1743410999999977,SA 5G,
351.0,1.212125940000002,SA 5G,
352.0,1.1911917583516742,SA 5G,
353.0,1.2324130999999998,SA 5G,
354.0,1.241541260000001,SA 5G,
355.0,1.2956815600000047,SA 5G,
356.0,1.2382834200000001,SA 5G,
357.0,1.2409012199999956,SA 5G,
358.0,1.2529656599999992,SA 5G,
359.0,1.26304562,SA 5G,
360.0,1.2869204440888211,SA 5G,
361.0,1.2489550599999997,SA 5G,
362.0,1.2531238599999983,SA 5G,
363.0,1.2541774200000024,SA 5G,
364.0,1.2344720600000025,SA 5G,
365.0,1.295054379999999,SA 5G,
366.0,1.2712746800000017,SA 5G,
367.0,1.2327011202240403,SA 5G,
368.0,1.253748419999998,SA 5G,
369.0,1.258908520000003,SA 5G,
370.0,1.2505248199999963,SA 5G,
371.0,1.2364617599999967,SA 5G,
372.0,1.2383001799999975,SA 5G,
373.0,1.2445449000000008,SA 5G,
374.0,1.3316384399999996,SA 5G,5t5
375.0,1.3017254250850188,SA 5G,
376.0,1.2440355600000024,SA 5G,
377.0,1.1983437000000041,SA 5G,
378.0,1.2472363399999966,SA 5G,
379.0,1.2219477400000014,SA 5G,
380.0,1.258173619999999,SA 5G,5t5
381.0,1.2530203599999956,SA 5G,
382.0,1.2024895979195835,SA 5G,
383.0,1.2062638600000049,SA 5G,
384.0,1.2152558399999986,SA 5G,
385.0,1.2489446400000022,SA 5G,
386.0,1.222288419999997,SA 5G,
387.0,1.2783758200000024,SA 5G,
388.0,1.2310606199999974,SA 5G,
389.0,1.2363035799999997,SA 5G,
390.0,1.2637437487497518,SA 5G,
391.0,1.2700984800000015,SA 5G,
392.0,1.2350720799999964,SA 5G,
393.0,1.2364537799999997,SA 5G,
394.0,1.2388947399999994,SA 5G,
395.0,1.2464267199999948,SA 5G,
396.0,1.2752712199999965,SA 5G,
397.0,1.2487979195839174,SA 5G,
398.0,1.240204240000001,SA 5G,
399.0,1.2352576799999964,SA 5G,
400.0,1.2484103800000044,SA 5G,
401.0,1.416978840000003,SA 5G,
402.0,1.2272692399999976,SA 5G,
403.0,1.2565009600000028,SA 5G,
404.0,1.264662399999998,SA 5G,
405.0,1.2328419283856773,SA 5G,
406.0,1.3051478399999972,SA 5G,
407.0,1.2547726399999988,SA 5G,
408.0,1.2366444200000015,SA 5G,
409.0,1.2855161799999995,SA 5G,
410.0,1.2506998400000007,SA 5G,
411.0,1.2898478999999998,SA 5G,
412.0,1.248448849769956,SA 5G,
413.0,1.2422747399999987,SA 5G,
414.0,1.2606489200000026,SA 5G,
415.0,1.2572307,SA 5G,
416.0,1.3400904799999984,SA 5G,
417.0,1.2659283800000003,SA 5G,
418.0,1.25028922,SA 5G,
419.0,1.2578357600000043,SA 5G,
420.0,1.237024024804961,SA 5G,
421.0,1.256893980000002,SA 5G,
422.0,1.265910919999998,SA 5G,
423.0,1.2481976600000007,SA 5G,
424.0,1.2469425200000044,SA 5G,
425.0,1.2720691800000032,SA 5G,
426.0,1.321073420000003,SA 5G,
427.0,1.234909001800362,SA 5G,
428.0,1.1989338199999953,SA 5G,
429.0,1.2222555200000047,SA 5G,
430.0,1.1882375000000012,SA 5G,
431.0,1.2380901000000015,SA 5G,5t5
432.0,1.2116508800000025,SA 5G,
433.0,1.1933037400000037,SA 5G,
434.0,1.209765220000002,SA 5G,
435.0,1.1980174634926999,SA 5G,
436.0,1.2593986800000028,SA 5G,
437.0,1.250868859999995,SA 5G,
438.0,1.2116798599999972,SA 5G,
