server_location,latency_min,latency_avg,type,iperf_run_number,distance,throughput_rolled3_avg,throughput_avg,throughput_max,throughput_90tile,throughput_95tile,throughput_median
east,87.5,141.90333333333334,tcp1c,64359,871,1418.6102530353774,1466.3420924883374,1609.035485851463,1601.1755055829774,1604.093159938423,1578.416829932266
east,87.5,141.90333333333334,tcp1c,64361,871,527.9314448035979,579.0940352468955,1579.297879602774,1538.9790735578983,1564.0419475973356,339.6716036383607
east,87.5,141.90333333333334,tcp1c,64362,871,1307.9112812315057,1356.2441925434334,1560.5065438007205,1551.5528514501202,1556.7568989968543,1526.168025592047
east2,43.3,124.83548387096774,tcp1c,64363,962,1269.1771562580864,1307.878042926937,1482.8972053106882,1475.4604601744236,1478.0784352717546,1409.4080676965764
east2,43.3,124.83548387096774,tcp1c,64364,962,1204.4782165043077,1249.3121144258587,1460.539702367738,1436.911375370045,1440.594732044016,1417.382392006543
east2,43.3,124.83548387096774,tcp1c,64365,962,1165.0052616744283,1212.298426687906,1485.0460625410333,1455.592067276857,1472.6199115075906,1421.5772453432874
east2,43.3,124.83548387096774,tcp1c,64366,962,1313.2115408059874,1357.4178791370623,1489.4180867805553,1478.54703193342,1481.3652250069972,1459.6616817534461
west,90.9,132.22000000000003,tcp1c,64372,1583,725.8366364556667,756.7199761386762,964.3606063202049,958.1115328195914,962.3558717043566,926.8998056602666
west,90.9,132.22000000000003,tcp1c,64377,1583,833.2947095793758,855.0397946725795,987.4110128186242,961.9065733012541,968.5686072296505,933.8558284651559
west,90.9,132.22000000000003,tcp1c,64381,1583,136.22568141190817,136.17966581629125,192.056576,177.46130439822926,186.26499108052775,126.68721626530619
west,90.9,132.22000000000003,tcp1c,64382,1583,715.2254734904908,745.1627732705878,961.0902730897715,951.3347596802482,955.4826904411484,923.8062116018289
west2,58.4,119.10999999999999,tcp1c,64385,1278,818.6262259620914,851.7306097824611,1041.1923931898748,1028.603787081239,1033.2475738138592,1005.1707393858885
west2,58.4,119.10999999999999,tcp1c,64386,1278,838.8850069517738,871.1954216084741,1070.6316667845435,1060.8456364786957,1062.2527435504903,1037.7448182395663
west2,58.4,119.10999999999999,tcp1c,64387,1278,882.6904620145767,906.4925406332096,1007.2325117640535,999.337422543027,1004.3742363364781,918.1950400991557
west2,58.4,119.10999999999999,tcp1c,64388,1278,856.0584043120923,887.4598097651217,1062.6985114947327,1047.6742038424911,1050.3261347748935,1020.3229761070559
central,24.7,105.14333333333333,tcp1c,64389,234,1342.1380299144028,1376.4184509659165,1806.4121592336928,1761.0278512975653,1790.631724131838,1612.1299073252085
