nr_ssRsrp,hardware_power_full,nrStatus,downlink_Mbps,LTE_RSRP,nr_ssSinr,hardware_power,software_power,Timestamp,uplink_Mbps
-75,9455.69556,CONNECTED,2488.799709,-58,23,7116.695559999999,8998.0296,150.28799999999998,1.741673
-78,7216.3175599999995,CONNECTED,1.18144,-59,21,4877.31756,7039.1672,146.232,115.31385800000001
-75,6409.1536,CONNECTED,0.8013520000000001,-82,11,4070.1536,6425.1789,409.57599999999996,55.525878000000006
-78,8257.742479999999,CONNECTED,1604.736781,-65,18,5936.74248,8837.2168,184.394,1.085261
-76,6845.445959999999,CONNECTED,0.8639290000000001,-83,8,4350.603507,5955.7344,419.667,65.47755500000001
-77,7297.5859,CONNECTED,1.134016,-57,18,4958.5859,7007.4231,145.237,122.980652
-73,6415.76512,CONNECTED,1.0515370000000002,-84,15,3931.7232329999997,5926.041,441.658,65.41198100000001
-78,8440.586879999999,CONNECTED,1.2447629999999998,-66,19,5945.7444270000005,7690.7991,855.163,120.39711799999999
-78,7760.329740000001,CONNECTED,1.221323,-64,18,5265.487287,7077.3346,197.37099999999998,140.65377900000001
-77,9855.32084,CONNECTED,2830.405143,-61,21,7534.32084,9525.6576,184.36,1.82769
-78,7931.60682,CONNECTED,1.539641,-64,18,5501.003364,7026.7268,187.395,174.787972
-78,7368.91302,CONNECTED,1.154862,-59,19,5029.91302,6990.1788,150.238,124.18886599999999
-88,5748.550679999999,CONNECTED,0.89948,-53,18,3317.947224,4897.472,47.205,56.008021
-86,5807.04676,CONNECTED,39.513313000000004,-72,21,3486.04676,5777.0108,822.221,0.22057600000000002
-88,5851.11024,CONNECTED,300.474317,-67,0,3512.11024,5831.3349,333.583,0.507464
-86,5845.99698,CONNECTED,307.96645099999995,-84,4,3506.99698,5822.8522,378.655,0.55229
-86,5791.41532,CONNECTED,349.91069100000004,-68,1,3470.4153200000005,5432.2992,367.79900000000004,0.59264
-86,5739.20622,CONNECTED,253.93732200000002,-65,2,3400.2062200000005,5793.4925,309.548,0.410258
-78,5890.38238,CONNECTED,0.99361,-75,3,3551.3823799999996,5727.6225,520.672,72.740626
-73,5787.74438,CONNECTED,1.103269,-79,11,3448.7443799999996,6107.4644,433.602,77.040051
-85,5770.10822,CONNECTED,90.18627099999999,-77,14,3449.10822,5517.4056,191.429,0.23271399999999998
-77,5798.626020000001,CONNECTED,0.91622,-79,2,3466.8947200000002,5657.124,529.785,68.022614
-86,5916.39258,CONNECTED,0.746224,-77,18,3584.66128,5882.7556,318.525,74.762579
-72,5707.64212,CONNECTED,1.238457,-72,7,3212.799667,5406.205,588.883,74.90228499999999
-83,5855.87056,CONNECTED,1.07968,-64,0,3371.8286729999995,5452.9580000000005,119.275,66.05425100000001
-71,5756.90014,CONNECTED,1.109472,-79,12,3262.057687,5038.4714,600.894,72.530975
-75,5870.56956,CONNECTED,1.1163379999999998,-74,4,3375.727107,5270.5772,635.923,67.526601
-88,5754.30116,CONNECTED,303.56426400000004,-67,2,3415.30116,5597.9028,334.585,0.48463999999999996
-81,5781.8897,CONNECTED,322.827668,-66,6,3460.8897,5306.7537,369.80300000000005,0.48583000000000004
-74,5756.07114,CONNECTED,1.090649,-77,5,3417.07114,6268.8269,511.71,71.799708
-73,5730.4211,CONNECTED,0.991892,-80,11,3235.578647,5505.2001,549.84,63.50624499999999
-76,5738.5981,CONNECTED,1.171518,-90,8,3399.5981,5399.642,541.694,74.005787
-76,5792.680920000001,CONNECTED,1.182272,-79,7,3297.838467,4891.0802,590.885,73.147874
-77,5756.08682,CONNECTED,1.097222,-82,9,3417.0868200000004,5824.392,439.615,76.732505
-77,5772.65312,CONNECTED,0.971447,-73,1,3433.6531200000004,5677.9632,530.689,72.17886999999999
-82,5730.74298,CONNECTED,349.46437099999997,-78,8,3409.7429799999995,5896.3685,408.874,0.532822
-79,5816.64202,CONNECTED,1.26672,-78,3,3477.6420200000002,5276.2322,537.689,73.077221
-75,5871.91196,CONNECTED,1.183724,-81,10,3377.069507,5341.568,572.87,71.203754
-80,5842.26792,CONNECTED,1.19287,-73,0,3503.2679200000002,5622.6246,489.67699999999996,71.70447800000001
-75,5732.3644,CONNECTED,1.1927590000000001,-69,2,3237.5219469999997,5389.4148,537.825,76.01429399999999
-72,5940.1998,CONNECTED,1.038486,-75,10,3445.3573469999997,5518.6094,595.889,70.26844100000001
-84,5897.30724,CONNECTED,345.372199,-67,6,3576.3072399999996,5612.9366,386.82800000000003,0.490464
-82,5897.69514,CONNECTED,0.910114,-63,-1,3558.69514,5675.2692,1050.3339999999998,64.12359000000001
-77,5731.04328,CONNECTED,1.14192,-73,2,3392.04328,5742.1006,509.709,74.244578
-80,5739.7924,CONNECTED,331.401686,-80,9,3400.7924,5645.5443,394.675,0.48838400000000004
-81,5692.35114,CONNECTED,317.65898599999997,-74,8,3371.3511399999998,5724.7068,400.86,0.446536
-86,5874.01266,CONNECTED,338.661468,-82,6,3535.0126600000003,5560.6728,350.619,0.524798
-75,5715.96566,CONNECTED,1.225383,-72,0,3376.9656600000003,5478.8928,533.691,68.85816899999999
-86,5736.809679999999,CONNECTED,340.989372,-78,4,3397.80968,5616.1455,348.61199999999997,0.50618
-79,5817.39126,CONNECTED,1.198272,-76,3,3322.548807,4994.1075,519.802,75.470177
-84,5731.09156,CONNECTED,281.662791,-69,5,3410.0915600000003,5335.3616,376.816,0.55038
-78,5724.071,CONNECTED,0.999648,-80,7,3385.071,5393.371999999999,457.63800000000003,70.060247
-75,5756.73088,CONNECTED,1.108653,-88,0,3417.7308799999996,5518.0542,502.663,76.441278
-72,5709.06146,CONNECTED,305.18197299999997,-83,12,3388.0614600000004,5357.253000000001,424.908,0.532643
-74,5708.596939999999,CONNECTED,1.072603,-79,8,3369.59694,5488.946,463.64300000000003,76.889951
-77,5935.1002,CONNECTED,1.074928,-71,6,3440.2577469999997,5755.86,998.308,72.229232
-73,5691.4658,CONNECTED,1.132352,-72,4,3196.6233469999997,4979.8624,674.9680000000001,68.60112099999999
-72,5725.9886,CONNECTED,322.32302799999997,-84,10,3404.9886,5368.308000000001,425.912,0.5937359999999999
-80,5873.93934,CONNECTED,346.655617,-77,9,3552.93934,5453.4315,409.876,0.5334720000000001
-87,5889.5886,CONNECTED,0.708448,-56,12,3550.5886,5457.7068,59.119,69.84403499999999
-77,5719.27834,CONNECTED,1.15856,-72,5,3224.435887,5475.857,587.882,71.07001600000001
-73,5763.73642,CONNECTED,1.005501,-92,8,3424.73642,5803.443,524.677,69.281726
-85,5741.75424,CONNECTED,283.211545,-87,7,3402.7542399999998,5616.727,367.64099999999996,0.416096
