enabled_radio_type,carrier,interval,RTT1,RTT2,active_radio_type,KeepOrDrop
4G-LTE,Verizon,15,379,379,4,YEP
4G-LTE,Verizon,15.1,1510,1510,4,YEP
4G-LTE,Verizon,15.2,1459,1459,4,YEP
4G-LTE,Verizon,15.3,1321,1321,4,YEP
4G-LTE,Verizon,15.4,1259,1260,4,YEP
4G-LTE,Verizon,15.5,1139,1140,4,YEP
4G-LTE,Verizon,15.6,1029,1030,4,YEP
4G-LTE,Verizon,15.7,930,930,4,YEP
4G-LTE,Verizon,15.8,847,848,4,YEP
4G-LTE,Verizon,15.9,752,752,4,YEP
4G-LTE,Verizon,16,640,640,4,YEP
4G-LTE,Verizon,16.1,520,520,4,YEP
4G-LTE,Verizon,16.2,458,458,4,YEP
4G-LTE,Verizon,16.3,1599,1599,4,YEP
4G-LTE,Verizon,16.4,1523,1522,4,YEP
4G-LTE,Verizon,16.5,1440,1439,4,YEP
4G-LTE,Verizon,16.6,1320,1320,4,YEP
4G-LTE,Verizon,16.7,1228,1228,4,YEP
4G-LTE,Verizon,16.8,1092,1092,4,YEP
4G-LTE,Verizon,16.9,1028,1027,4,YEP
4G-LTE,Verizon,17,932,932,4,YEP
4G-LTE,Verizon,17.1,813,813,4,YEP
4G-LTE,Verizon,17.2,716,716,4,YEP
4G-LTE,Verizon,17.3,651,651,4,YEP
4G-LTE,Verizon,17.4,513,512,4,YEP
4G-LTE,Verizon,17.5,392,392,4,YEP
4G-LTE,Verizon,17.6,1622,1622,4,YEP
4G-LTE,Verizon,17.7,1491,1490,4,YEP
4G-LTE,Verizon,17.8,1379,1379,4,YEP
4G-LTE,Verizon,17.9,1323,1323,4,YEP
4G-LTE,Verizon,18,1184,1183,4,YEP
4G-LTE,Verizon,18.1,1099,1100,4,YEP
4G-LTE,Verizon,18.2,1001,1000,4,YEP
4G-LTE,Verizon,18.3,918,919,4,YEP
4G-LTE,Verizon,18.4,778,777,4,YEP
4G-LTE,Verizon,18.5,713,714,4,YEP
4G-LTE,Verizon,18.6,591,590,4,YEP
4G-LTE,Verizon,18.7,500,501,4,YEP
4G-LTE,Verizon,18.8,397,397,4,YEP
4G-LTE,Verizon,18.9,1578,1578,4,YEP
4G-LTE,Verizon,19,1488,1487,4,YEP
4G-LTE,Verizon,19.1,1362,1363,4,YEP
4G-LTE,Verizon,19.2,1279,1279,4,YEP
4G-LTE,Verizon,19.3,1199,1199,4,YEP
4G-LTE,Verizon,19.4,1079,1080,4,YEP
4G-LTE,Verizon,19.5,980,979,4,YEP
4G-LTE,Verizon,19.6,867,868,4,YEP
4G-LTE,Verizon,19.7,791,791,4,YEP
4G-LTE,Verizon,19.8,660,659,4,YEP
4G-LTE,Verizon,19.9,595,596,4,YEP
4G-LTE,Verizon,0,64,64,4,YEP
4G-LTE,Verizon,0.1,66,66,4,YEP
4G-LTE,Verizon,0.2,80,80,4,YEP
4G-LTE,Verizon,0.3,100,100,4,YEP
4G-LTE,Verizon,0.4,90,90,4,YEP
4G-LTE,Verizon,0.5,130,130,4,YEP
4G-LTE,Verizon,0.6,370,370,4,YEP
4G-LTE,Verizon,0.7,244,244,4,YEP
4G-LTE,Verizon,0.8,176,176,4,YEP
4G-LTE,Verizon,0.9,379,380,4,YEP
4G-LTE,Verizon,1,269,270,4,YEP
4G-LTE,Verizon,1.1,180,180,4,YEP
