pageRef,startedDateTime,requestMethod,requestUrl,requestHttpVersion,requestHeaderSize,responseStatus,responseContentSize,responseCacheControl,time,blocked,dns,connect,send,wait,receive,ssl
page_1,2020-12-24T13:34:44.382Z,GET,https://connect.facebook.net/en_US/fbevents.js,h2,-1,200,92230,application/x-javascript; charset=utf-8,23470,"public, max-age=1200",133.58599999992293,6.490999999716878,18.585,82.305,0.21299999999999386,22.813000000000002,3.178999999363441,44.268
page_1,2020-12-24T13:34:44.387Z,GET,https://bat.bing.com/bat.js,h2,-1,200,28050,application/javascript,8454,"private,max-age=1800",219.83499999987544,108.69999999880395,13.474,67.66499999999999,0.818000000000012,27.197999999999993,1.9800000009126961,45.376999999999995
page_1,2020-12-24T13:34:44.389Z,GET,https://px.airpr.com/airpr.js,h2,-1,200,7406,application/javascript; charset=utf-8,2131,max-age=43200,214.7560000012163,108.2880000008482,13.266,66.905,0.5099999999999909,24.703000000000003,1.0839999995368998,45.77799999999999
page_1,2020-12-24T13:34:44.399Z,GET,https://www.23andme.com/pop-up-shop.js,h2,-1,200,31883,application/javascript,"public, max-age=3600",100.18900000068243,51.07100000028056,-1,-1,2.0150000000000006,46.39699999999999,0.7059999988996424,-1
page_1,2020-12-24T13:34:44.396Z,GET,https://s.amazon-adsystem.com/iu3?d=generic&ex-fargs=%3Fid%3Df8d76ac2-d288-5fff-1df1-4507735b44cf%26type%3D55%26m%3D1&ex-fch=416613&ex-src=23andme.com&ex-hargs=v%3D1.0%3Bc%3D7761172732385%3Bp%3DF8D76AC2-D288-5FFF-1DF1-4507735B44CF&cb=42839037534453390,http/1.1,-1,302,0,0,"max-age=0, no-cache, no-store, private, must-revalidate, s-maxage=0",215.808000000834,4.645999998589046,43.649,107.37299999999999,0.13300000000000978,49.05000000000001,10.957000002235873,61.748000000000005
page_1,2020-12-24T13:34:44.621Z,GET,https://consumer.krxd.net/consent/get/399a7747-7702-4c62-b93c-ffeb7f6f0f26?idt=device&dt=kxcookie&callback=Krux.ns.twentythreeandme.kxjsonp_consent_get_0,h2,-1,200,246,text/javascript; charset=UTF-8,200,max-age=1800,171.04299999846262,2.297999998385319,15.706999999999999,60.935,1.9099999999999966,89.04899999999999,1.1440000016591512,35.318999999999996
page_1,2020-12-24T13:34:44.654Z,GET,https://www.google-analytics.com/plugins/ua/ec.js,h2,-1,200,2779,text/javascript,1306,"public, max-age=3600",28.60299999883864,2.199000000532018,-1,-1,0.18799999999999994,24.854,1.361999999062391,-1
page_1,2020-12-24T13:34:44.707Z,GET,https://www.23andme.com/api/context?path=en-us&host=www.23andme.com,h2,-1,200,490,application/json; charset=utf-8,232,"public, max-age=14400",52.18799999784096,2.9600000000933653,-1,-1,0.43399999999999994,47.92,0.8739999975659885,-1
page_1,2020-12-24T13:34:44.736Z,GET,https://connect.facebook.net/signals/config/308315429350550?v=2.9.31&r=stable,h2,-1,200,244660,application/x-javascript; charset=utf-8,70336,"public, max-age=1200",61.935000001540175,5.590000001198379,-1,-1,0.3859999999999999,28.664,27.294999999867287,-1
page_1,2020-12-24T13:34:44.756Z,GET,https://googleads.g.doubleclick.net/pagead/viewthroughconversion/1012295175/?random=1608816884753&cv=9&fst=1608816884753&num=1&label=Qa57CImrjQUQh8zZ4gM&guid=ON&resp=GooglemKTybQhCsO&u_h=851&u_w=393&u_ah=851&u_aw=393&u_cd=24&u_his=2&u_tz=-360&u_java=false&u_nplug=0&u_nmime=0&gtm=2wgbu0&sendb=1&ig=1&frm=0&url=https%3A%2F%2Fwww.23andme.com%2F&tiba=DNA%20Genetic%20Testing%20%26%20Analysis%20-%2023andMe&hn=www.googleadservices.com&async=1&rfmt=3&fmt=4,h2,-1,200,1654,text/javascript; charset=UTF-8,1048,"no-cache, must-revalidate",366.44299999898067,6.1709999983666926,27.231,77.48700000000001,0.4439999999999884,253.10200000000003,2.007999999477761,49
page_1,2020-12-24T13:34:44.762Z,GET,https://googleads.g.doubleclick.net/pagead/viewthroughconversion/1012295175/?random=1608816884760&cv=9&fst=1608816884760&num=1&label=DasJCPmP5gMQh8zZ4gM&guid=ON&resp=GooglemKTybQhCsO&u_h=851&u_w=393&u_ah=851&u_aw=393&u_cd=24&u_his=2&u_tz=-360&u_java=false&u_nplug=0&u_nmime=0&gtm=2wgbu0&sendb=1&ig=1&frm=0&url=https%3A%2F%2Fwww.23andme.com%2F&tiba=DNA%20Genetic%20Testing%20%26%20Analysis%20-%2023andMe&hn=www.googleadservices.com&async=1&rfmt=3&fmt=4,h2,-1,200,1653,text/javascript; charset=UTF-8,1046,"no-cache, must-revalidate",151.02699999988545,105.06199999967916,-1,-1,0.277000000000001,44.959999999999994,0.7279999990714714,-1
page_1,2020-12-24T13:34:44.456Z,GET,https://tags.w55c.net/rs?id=a5c8838b60c74196b7d857d81c9b846d&t=homepage&gtmcb=1325607278,http/1.1,-1,302,0,0,"no-cache, must-revalidate",311.15999999747146,46.710999997794396,15.611999999999998,134.126,0.27899999999999636,41.946,72.48600000093575,93.769
page_1,2020-12-24T13:34:44.783Z,GET,https://s.pinimg.com/ct/lib/main.2a04f3ee.js,h2,-1,200,49602,application/javascript,17102,max-age=1209600,87.76199999920209,2.5850000005383045,-1,-1,0.887,77.911,6.378999998560175,-1
page_1,2020-12-24T13:34:44.814Z,GET,https://bat.bing.com/action/0?ti=5202638&Ver=2&mid=9998f67d-66ab-4e32-bca4-efca62e358e6&sid=c8c6f5b045ec11eb845d79f3e5edd629&vid=c8c83ca045ec11eb9f39cfbc122b5841&vids=1&pi=0&lg=en-US&sw=393&sh=851&sc=24&tl=DNA%20Genetic%20Testing%20%26%20Analysis%20-%2023andMe&p=https%3A%2F%2Fwww.23andme.com%2F&r=&lt=1237&evt=pageLoad&msclkid=N&sv=1&rn=233091,h2,-1,204,0,"no-cache, must-revalidate",41.86200000185636,6.3600000011739315,-1,-1,0.9360000000000004,34.007000000000005,0.5590000000665896,-1
page_1,2020-12-24T13:34:44.767Z,GET,https://tags.w55c.net/rs?scc=1&id=a5c8838b60c74196b7d857d81c9b846d&t=homepage&gtmcb=1325607278,http/1.1,-1,302,0,0,"no-cache, must-revalidate",66.70900000244728,6.297000003269874,-1,-1,0.24399999999999977,46.762,13.405999998212792,-1
