parent_file,exp_label,protocol,length,timestamp,Fixedtimestamp,time,_start,_end,_seconds,bits_per_second,rtt,iperf_type,Throughput,run_number,iperf_did,seq_no
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:26-06:00,23:45:26,75.0,76.0,1.0,91200000.0,-1,parallel-merged,91.2,77,S20UPM,75
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:27-06:00,23:45:27,76.0,77.0,1.0,71300000.0,-1,parallel-merged,71.3,77,S20UPM,76
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:28-06:00,23:45:28,77.0,78.0,1.0,96500000.0,-1,parallel-merged,96.5,77,S20UPM,77
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:29-06:00,23:45:29,78.0,79.0,1.0,98600000.0,-1,parallel-merged,98.6,77,S20UPM,78
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:30-06:00,23:45:30,79.0,80.0,1.0,95300000.0,-1,parallel-merged,95.3,77,S20UPM,79
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:31-06:00,23:45:31,80.0,81.0,1.0,83000000.0,-1,parallel-merged,83.0,77,S20UPM,80
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:32-06:00,23:45:32,81.0,82.0,1.0,108000000.0,-1,parallel-merged,108.0,77,S20UPM,81
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:35-06:00,23:45:35,84.0,85.0,1.0,99600000.0,-1,parallel-merged,99.6,77,S20UPM,84
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:36-06:00,23:45:36,85.0,86.0,1.0,99600000.0,-1,parallel-merged,99.6,77,S20UPM,85
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:37-06:00,23:45:37,86.0,87.0,1.0,89200000.0,-1,parallel-merged,89.2,77,S20UPM,86
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:38-06:00,23:45:38,87.0,88.0,1.0,75500000.0,-1,parallel-merged,75.5,77,S20UPM,87
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:39-06:00,23:45:39,88.0,89.0,1.0,87000000.0,-1,parallel-merged,87.0,77,S20UPM,88
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:40-06:00,23:45:40,89.0,90.0,1.0,104000000.0,-1,parallel-merged,104.0,77,S20UPM,89
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:41-06:00,23:45:41,90.0,91.0,1.0,93300000.0,-1,parallel-merged,93.3,77,S20UPM,90
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:42-06:00,23:45:42,91.0,92.0,1.0,101000000.0,-1,parallel-merged,101.0,77,S20UPM,91
